name,domain_name,media_outlet_type,state,bias,active
The  Columbus Dispatch,dispatch.com,Web Publication,Ohio,Center,TRUE
The FactCheck.org,factcheck.org,Web Publication,Unspecified,Center Left,TRUE
AZCentral.com,azcentral.com,Local News Outlet,Arizona,Center,TRUE
Mashable,mashable.com,Web Publication,Unspecified,Center,TRUE
The Root,theroot.com,Web Publication,Unspecified,Center,TRUE
Mongabay,mongabay.com,Web Publication,Unspecified,Center,TRUE
Bloomberg,bloomberg.com,Web Publication,Unspecified,Center,TRUE
Oregon Live,oregonlive.com,Local News Outlet,Oregon,Center,TRUE
The Sun,the-sun.com,Web Publication,Unspecified,Center,TRUE
Vermont Rutland Herald,rutlandherald.com,Local News Outlet,Vermont,Center,TRUE
CNBC,cnbc.com,Cable TV News,Unspecified,Center,TRUE
Schwartxreport.net,schwartzreport.net,Web Publication,Unspecified,Center,TRUE
Hollywood Reporter,hollywoodreporter.com,Web Publication,Unspecified,Center,TRUE
South Carolina Post and Courier,postandcourier.com,Web Publication,South Carolina,Center,TRUE
Ohaha World-Herald,omaha.com,Local News Outlet,Nebraska,Center,TRUE
Mint Press News,mintpressnews.com,Web Publication,Unspecified,Center,TRUE
Reuters,reuters.com,Web Publication,Unspecified,Center,TRUE
RadarOnline,radaronline.com,Web Publication,Unspecified,Center,TRUE
TMZ,tmz.com,Web Publication,Unspecified,Center,TRUE
Hollywood Life,hollywoodlife.com,Web Publication,Unspecified,Center,TRUE
Entertainment Weekly,ew.com,Web Publication,Unspecified,Center,TRUE
NewsOne,newsone.com,Web Publication,Unspecified,Center,TRUE
The Real News Network,therealnews.com,Web Publication,Unspecified,Center,TRUE
Variety,variety.com,Web Publication,Unspecified,Center,TRUE
Engadget,engadget.com,Web Publication,Unspecified,Center,TRUE
Harper''s Magazine,harpers.org,Opinion Journal,Unspecified,Center,TRUE
Buzzfeed,buzzfeed.com,Web Publication,Unspecified,Center,TRUE
Cincinnati Inquirer,cincinnati.com,Local News Outlet,Ohio,Center,TRUE
Grist,grist.org,Web Publication,Unspecified,Center,TRUE
TechRadar,techradar.com,Web Publication,Unspecified,Center,TRUE
NewsBlaze,newsblaze.com,Web Publication,Unspecified,Center,TRUE
Scientific American,scientificamerican.com,Web Publication,Unspecified,Center,TRUE
CNET,cnet.com,Web Publication,Unspecified,Center,TRUE
Science Alert,sciencealert.com,Web Publication,Unspecified,Center,TRUE
IndyStar,indystar.com,Local News Outlet,Indiana,Center,TRUE
GQ,gq.com,Web Publication,Unspecified,Center,TRUE
Quartz,qz.com,Web Publication,Unspecified,Center,TRUE
Syracuse.com,syracuse.com,Local News Outlet,New York,Center,TRUE
CBS Sports,cbssports.com,Network TV News,Unspecified,Center,TRUE
Us Weekly,usmagazine.com,Web Publication,Unspecified,Center,TRUE
New Hampshire Gazette,nhgazette.com,Local News Outlet,New Hampshire,Center,TRUE
RealClearPolitics,realclearpolitics.com,Web Publication,Unspecified,Center Right,TRUE
Yahoo,yahoo.com,Web Publication,Unspecified,Center,TRUE
Observer,observer.com,Web Publication,Unspecified,Center,TRUE
Advocate,advocate.com,Web Publication,Unspecified,Left,TRUE
Afro American Newspaper,afro.com,Web Publication,Unspecified,Center Left,TRUE
Aljazeera,aljazeera.com,Web Publication,Unspecified,Center Left,TRUE
Arkansas Times,arktimes.com,Local News Outlet,Arkansas,Center,TRUE
Chicago Reader,chicagoreader.com,Local News Outlet,Illinois,Left,TRUE
Common Dreams,commondreams.org,Web Publication,Unspecified,Left,TRUE
Crooks and Liars,crooksandliars.com,Web Publication,Unspecified,Left,TRUE
Fair,fair.org,Web Publication,Unspecified,Left,TRUE
Hyperallergic,hyperallergic.com,Web Publication,Unspecified,Left,TRUE
Informed Comment,juancole.com,Web Publication,Unspecified,Left,TRUE
Just Security,justsecurity.org,Web Publication,Unspecified,Center,TRUE
Nation of Change,nationofchange.org,Web Publication,Unspecified,Left,TRUE
New Republic,newrepublic.com,Opinion Journal,Unspecified,Center Left,TRUE
Next City,nextcity.org,Web Publication,Unspecified,Left,TRUE
N+1,nplusonemag.com,Web Publication,Unspecified,Left,TRUE
Palmer Report,palmerreport.com,Web Publication,Unspecified,Left,TRUE
Politics USA,politicususa.com,Web Publication,Unspecified,Left,TRUE
Popular Resistance,popularresistance.org,Web Publication,Unspecified,Left,TRUE
Tech Crunch,techcrunch.com,Web Publication,Unspecified,Center Left,TRUE
ProPublica,propublica.org,Web Publication,Unspecified,Center Left,TRUE
NY Review of Books,nybooks.com,Web Publication,Unspecified,Left,TRUE
PoPville,popville.com,Web Publication,District of Columbia,Left,TRUE
Portland Mercury,portlandmercury.com,Web Publication,Oregon,Center,TRUE
The Progressive,progressive.org,Opinion Journal,Unspecified,Left,TRUE
The American Prospect,prospect.org,Opinion Journal,Unspecified,Left,TRUE
The Grio,thegrio.com,Web Publication,Unspecified,Center,TRUE
The New Civil Rights Movement,thenewcivilrightsmovement.com,Web Publication,Unspecified,Center,TRUE
The Stranger,thestranger.com,Web Publication,Washington,Left,TRUE
Washington Blade,washingtonblade.com,Web Publication,District of Columbia,Left,TRUE
WBUR,wbur.org,Local Broadcast News,Massachusetts,Center Left,TRUE
WHYY,whyy.org,Local Broadcast News,Pennsylvania,Center,TRUE
Wonkette,wonkette.com,Web Publication,Unspecified,Left,TRUE
Anchorage Daily News,adn.com,Local News Outlet,Alaska,Center,TRUE
Arlington Connection,arlingtonconnection.com,Web Publication,Virginia,Center,TRUE
ARLnow,arlnow.com,Web Publication,Virginia,Center,TRUE
Audacy,audacy.com,Local News Outlet,Unspecified,Center,TRUE
Bay State Banner,baystatebanner.com,Local News Outlet,Massachusetts,Center,TRUE
Black America Web,blackamericaweb.com,Local News Outlet,Unspecified,Center,TRUE
Boston.com,boston.com,Local News Outlet,Massachusetts,Center,TRUE
City and State NY,cityandstateny.com,Local News Outlet,New York,Center,TRUE
Civil Beat,civilbeat.org,Local News Outlet,Hawaii,Center,TRUE
Columbia Basin Herald,columbiabasinherald.com,Local News Outlet,Washington,Center,TRUE
The Columbian,columbian.com,Local News Outlet,Washington,Center,TRUE
El Nuevo Dia,elnuevodia.com,Local News Outlet,Puerto Rico,Center,TRUE
New Orleans Fox 8 Live,fox8live.com,Local Broadcast News,Louisiana,Center,TRUE
WNYC Gothamist,gothamist.com,Local Broadcast News,New York,Center,TRUE
Grand Forks Herald,grandforksherald.com,Local News Outlet,North Dakota,Center,TRUE
In These Times,inthesetimes.com,Local News Outlet,Unspecified,Center,TRUE
Iowa Starting Line,iowastartingline.com,Local News Outlet,Unspecified,Center,TRUE
KMXT,kmxt.org,Local Broadcast News,Alaska,Center,TRUE
Know Pages,knoxpages.com,Local News Outlet,Ohio,Center,TRUE
KAUF,kuaf.com,Local Broadcast News,Arkansas,Center,TRUE
Little Green Footballs,littlegreenfootballs.com,Local News Outlet,Unspecified,Left,TRUE
MLive.com,mlive.com,Local News Outlet,Michigan,Center,TRUE
Mondoweiss,mondoweiss.net,Local News Outlet,Unspecified,Center,TRUE
Must Read Alaska,mustreadalaska.com,Local News Outlet,Alaska,Center,TRUE
Newsmax,newsmax.com,Cable TV News,Unspecified,Right,TRUE
Pittsburgh Post-Gazette,post-gazette.com,Local News Outlet,Pennsylvania,Center,TRUE
Portland Press Herald,pressherald.com,Local News Outlet,Oregon,Center,TRUE
Shreveport Times,shreveporttimes.com,Local News Outlet,Louisiana,Center,TRUE
Smith Center for International Sustainable Agriculture,smithcenter.tennessee.edu,Local News Outlet,Tennessee,Center,TRUE
Austin American-Statesman,statesman.com,Local News Outlet,Texas,Center,TRUE
Stars and Stripes,stripes.com,Local News Outlet,Unspecified,Center,TRUE
The Tennessean,tennessean.com,Local News Outlet,Tennessee,Center,TRUE
UnivarsalHub ,universalhub.com,Local News Outlet,Massachusetts,Center,TRUE
Washington Post,washingtonpost.com,National News Outlet,Unspecified,Center,TRUE
WLOX,wlox.com,Local Broadcast News,Mississippi,Center,TRUE
WWNO,wwno.org,Local Broadcast News,Louisiana,Center,TRUE
Yes! Magazine,yesmagazine.org,Web Publication,Unspecified,Center,TRUE
